Artista,Musica,Tempo,Data
Renan Inquérito,Versos Vegetarianos,212426,2021-06-08 14:18
Dropallien,Alotrópico,37239,2021-06-08 14:19
FBC,Auto Ajuda,170649,2021-06-08 14:21
Kawe,Brilho,19293,2021-06-08 14:22
Racionais MC's,"Vida Loka, Pt. 1",1412,2021-06-08 14:22
Sabotage,Um Bom Lugar,316,2021-06-08 14:22
ConeCrewDiretoria,Chama os mulekes,2401,2021-06-08 14:22
JAY-Z,No Church In The Wild,6360,2021-06-08 14:22
Febem,OG,22897,2021-06-08 14:22
Emicida,"Eminência Parda (feat. Dona Onete, Jé Santiago & Papillon)",242439,2021-06-08 14:26
FBC,17 Anos,1057,2021-06-08 14:30
Lil Nas X,HOLIDAY,10808,2021-06-08 14:30
Djonga,BENÇA,224255,2021-06-08 14:30
Filipe Ret,Invicto,663,2021-06-08 14:32
Costa Gold,A Praia,2263,2021-06-08 14:32
Facção Central,A Minha Voz Está no Ar,4960,2021-06-08 14:32
MV Bill,Soldado do Morro,305,2021-06-08 14:32
Rashid,E Se,20325,2021-06-08 14:33
Febem,ME PAGA (feat. Djonga),493,2021-06-08 14:33
Criolo,Boca de Lobo,6325,2021-06-08 14:33
Rincon Sapiência,Me Nota,3713,2021-06-08 14:33
Emicida,Triunfo (A Rua É Nóiz),4776,2021-06-08 14:33
Rashid,Diário de Bordo 6,265763,2021-06-08 14:37
BK,Top Boys,1728,2021-06-08 14:38
Rincon Sapiência,Linhas de Soco,251,2021-06-08 14:38
Planet Hemp,Contexto,1363,2021-06-08 14:38
Sant,OPRES,1203,2021-06-08 14:38
UCLÃ,Gatinha,1388,2021-06-08 14:38
ConeCrewDiretoria,Chama os mulekes,1335,2021-06-08 14:38
Mc Marechal,Primeiro de Abril,21089,2021-06-08 14:38
Black Alien,Chuck Berry,617,2021-06-08 14:38
Rincon Sapiência,Linhas de Soco,251726,2021-06-08 14:42
Sant,OPRES,234960,2021-06-08 14:46
Dalsin,Black Tie,238363,2021-06-08 14:50
Eloy Polemico,Ouro de Tolo,254214,2021-06-08 14:54
Edi Rock,That's My Way,339773,2021-06-08 15:00
Criolo,Lion Man,205440,2021-06-08 15:03
Emicida,"Eminência Parda (feat. Dona Onete, Jé Santiago & Papillon)",1557,2021-06-08 15:04
RZO,Rolê na Vila,32485,2021-06-08 15:04
Lívia Cruz,Marginais Livres,175608,2021-06-08 15:07
Ber,Dez a Dez,284000,2021-06-08 15:12
Pentagono,O Q?,252480,2021-06-08 15:16
Rashid,E Se,273320,2021-06-08 15:20
Emicida,Baiana,60002,2021-06-08 15:21
Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",84902,2021-06-09 16:13
The Weeknd,Blinding Lights,200040,2021-06-09 16:17
The Weeknd,Save Your Tears,31126,2021-06-09 16:17
Emicida,AmarElo (Sample: Sujeito de Sorte - Belchior),320800,2021-06-09 16:23
Criolo,É o Teste,279720,2021-06-09 16:27
ÀTTØØXXÁ,Faz a Egypsia (ARE BABA),87328,2021-06-09 16:40
Racionais MC's,"Vida Loka, Pt. 1",3391,2021-06-12 19:10
Renan Inquérito,Cidade Sem Cor,4251,2021-06-12 19:10
RZO,"Pirituba, Pt. 2",1400,2021-06-12 19:10
509-E,Mile Dias,2133,2021-06-12 19:11
Black Alien,Chuck Berry,170627,2021-06-12 19:13
BK,Castelos & Ruínas,249490,2021-06-12 19:18
FBC,Auto Ajuda,170649,2021-06-12 19:21
MV Bill,Nóiz Mermo,271023,2021-06-12 19:25
Sant,OPRES,234960,2021-06-12 19:29
Rashid,E Se,214380,2021-06-12 19:33
Emicida,"Eminência Parda (feat. Dona Onete, Jé Santiago & Papillon)",2295,2021-06-12 19:36
Baco Exu do Blues,Esú,179910,2021-06-12 19:36
Renan Inquérito,Tristeza,172314,2021-06-12 19:38
Rincon Sapiência,Cotidiano,172727,2021-06-12 19:41
Eloy Polemico,Ouro de Tolo,1513,2021-06-12 19:48
Racionais MC's,Da Ponte pra Cá,405642,2021-06-12 19:48
Sabotage,Rap É Compromisso,57774,2021-06-12 19:49
Filipe Ret,Asfalto do Catete,88305,2021-06-12 19:51
Froid,Flow de Lázaro,157846,2021-06-12 19:53
Ndee Naldinho,O 5° Vigia,18870,2021-06-12 19:57
Kamau,Só,201280,2021-06-12 19:57
Snoop Dogg,Drop It Like It's Hot,266066,2021-06-12 20:01
Baco Exu do Blues,En Tu Mira,162789,2021-06-12 20:04
Baco Exu do Blues,En Tu Mira,5265,2021-06-12 20:07
Renan Inquérito,Versos Vegetarianos,190665,2021-06-12 20:07
Renan Inquérito,Versos Vegetarianos,212426,2021-06-12 20:11
Emicida,Triunfo (A Rua É Nóiz),209373,2021-06-12 20:14
Don L,Depois das Três,184412,2021-06-12 20:18
Sant,Entre Becos e Vielas,173333,2021-06-12 20:20
Racionais MC's,Mil Faces de um Homem Leal (Marighella),299722,2021-06-15 20:04
BK,Top Boys,1364,2021-06-15 20:05
Renan Inquérito,Som pra Ladrão,5787,2021-06-15 20:05
FBC,Ela É Green,3654,2021-06-15 20:05
Baco Exu do Blues,999,1227,2021-06-15 20:05
Sant,Ensaio Sobre a Lucidez,2635,2021-06-15 20:05
Racionais MC's,Jesus Chorou,27992,2021-06-15 20:05
JAY-Z,No Church In The Wild,1736,2021-06-15 20:05
Emicida,Ooorra - Ao Vivo,1447,2021-06-15 20:05
MV Bill,Estilo Vagabundo 3,2219,2021-06-15 20:05
Rincon Sapiência,Transporte Público (Remistura),1547,2021-06-15 20:05
Don L,Beira de Piscina (Remix),3633,2021-06-15 20:05
Black Alien,Aniversário de Sobriedade,1488,2021-06-15 20:05
Criolo,Sistema Obtuso,199130,2021-06-15 20:09
Froid,Flow de Lázaro,157846,2021-06-15 20:12
Filipe Ret,Reús,18802,2021-06-15 20:12
Kamau,Só,201280,2021-06-15 20:15
Don L,Eu Não Te Amo,291243,2021-06-15 20:20
Rashid,Diário de Bordo 6,265763,2021-06-15 20:25
FBC,Auto Ajuda,170649,2021-06-15 20:28
Febem,MÉXICO,165408,2021-06-15 20:31
Kant,Role Play,225007,2021-06-15 20:35
Eloy Polemico,Ouro de Tolo,125222,2021-06-15 20:37
Don L,Depois das Três,20665,2021-06-16 15:09
Don L,Depois das Três,2782,2021-06-16 15:09
MV Bill,Nóiz Mermo,9753,2021-06-16 15:09
Renan Inquérito,Tristeza,2759,2021-06-16 15:09
MV Bill,Nóiz Mermo,271023,2021-06-16 15:14
Renan Inquérito,Tristeza,178786,2021-06-16 15:17
FBC,Auto Ajuda,170649,2021-06-16 15:20
Sant,OPRES,207300,2021-06-16 15:23
Baco Exu do Blues,En Tu Mira,1613,2021-06-16 15:23
Froid,Flow de Lázaro,957,2021-06-16 15:23
Rincon Sapiência,Cotidiano,384,2021-06-16 15:23
BK,Castelos & Ruínas,1718,2021-06-16 15:23
Emicida,Triunfo (A Rua É Nóiz),0,2021-06-16 15:23
Emicida,Levanta e Anda,1908,2021-06-16 15:24
Filipe Ret,Jamais Serão,1658,2021-06-16 15:24
Snoop Dogg,Drop It Like It's Hot,0,2021-06-16 15:24
Snoop Dogg,Drop It Like It's Hot,1881,2021-06-16 15:24
Kawe,Iluminado,1554,2021-06-16 15:24
Racionais MC's,"Vida Loka, Pt. 1",2320,2021-06-16 15:24
Haikaiss,Supersticiosa,2497,2021-06-16 15:24
Filipe Ret,Asfalto do Catete,1746,2021-06-16 15:24
Pedro Lotto,Do Lixo ao Luxo,2840,2021-06-16 15:24
Eloy Polemico,Ouro de Tolo,0,2021-06-16 15:24
Kant,Inferno de Kant,1701,2021-06-16 15:24
Renan Inquérito,Versos Vegetarianos,204,2021-06-16 15:24
Renan Inquérito,Versos Vegetarianos,623,2021-06-16 15:24
Don L,"Morra Bem, Viva Rápido",100,2021-06-16 15:24
BK,Mudando o Jogo,1621,2021-06-16 15:24
Febem,CRIME,2341,2021-06-16 15:24
BK,Castelos & Ruínas,959,2021-06-16 15:24
Dexter,Eu Sô Função,1660,2021-06-16 15:24
Kayuá,Celebrar,661,2021-06-16 15:24
Emicida,Triunfo (A Rua É Nóiz),3274,2021-06-16 15:24
Djonga,BENÇA,2842,2021-06-16 15:24
Kamau,Só,710,2021-06-16 15:25
Rashid,E Se,0,2021-06-16 15:25
Cacife Clandestino,Fuga,13923,2021-06-16 15:25
Froid,Negro É Foda,5397,2021-06-16 15:25
Somos Nós A Justiça,Se Tu Lutas Tu Conquistas,5993,2021-06-16 15:25
Renan Inquérito,Meu Super Herói,1185,2021-06-16 15:25
Sest,Suíte 14 (feat. Djonga),6096,2021-06-16 15:25
Sant,Ensaio Sobre a Lucidez,141935,2021-06-16 15:27
Criolo,Sistema Obtuso,199130,2021-06-16 15:31
Rincon Sapiência,Transporte Público (Remistura),36321,2021-06-16 15:31
Dropallien,Alotrópico,3902,2021-06-16 15:34
Tribo da Periferia,Cegonha,1209,2021-06-16 15:34
Black Alien,Aniversário de Sobriedade,164902,2021-06-16 15:34
Murica,Coral e Cascavel,133400,2021-06-16 15:36
Djonga,LADRÃO,1051,2021-06-16 15:37
Sain,Hoodfellas,34075,2021-06-16 15:37
Racionais MC's,A Vítima,1043,2021-06-16 15:37
509-E,Uh Barato É Louco,1567,2021-06-16 15:53
Sant,OPRES,234960,2021-06-16 22:15
Baco Exu do Blues,En Tu Mira,162789,2021-06-16 22:17
Froid,Flow de Lázaro,157846,2021-06-16 22:20
Rincon Sapiência,Cotidiano,172727,2021-06-16 22:23
Emicida,Triunfo (A Rua É Nóiz),209373,2021-06-16 22:26
BK,Castelos & Ruínas,249490,2021-06-16 22:30
Kawe,Iluminado,200625,2021-06-16 22:34
Filipe Ret,Jamais Serão,243716,2021-06-16 22:38
Kayuá,Celebrar,240000,2021-06-16 22:42
Febem,CRIME,188330,2021-06-16 22:45
Don L,"Morra Bem, Viva Rápido",259964,2021-06-16 22:49
Racionais MC's,"Vida Loka, Pt. 1",303560,2021-06-16 22:54
Djonga,BENÇA,224255,2021-06-16 22:58
Haikaiss,Supersticiosa,47772,2021-06-16 22:59
Pedro Lotto,Do Lixo ao Luxo,5215,2021-06-16 22:59
Snoop Dogg,Drop It Like It's Hot,30001,2021-06-16 23:03
Renan Inquérito,Versos Vegetarianos,212426,2021-06-16 23:03
Snoop Dogg,Drop It Like It's Hot,5255,2021-06-16 23:07
Eloy Polemico,Ouro de Tolo,2456,2021-06-16 23:07
BK,Mudando o Jogo,157270,2021-06-16 23:09
Dexter,Eu Sô Função,9100,2021-06-16 23:10
MC Zaquin,Não Nasceu pra Namorar,6228,2021-06-18 14:56
MC Zaquin,Não Nasceu pra Namorar,62460,2021-06-18 14:57
Mc Davi,Bipolar,70483,2021-06-18 14:58
Rincon Sapiência,Afro Rep,5080,2021-06-20 19:40
Don L,kelefeeling (verso livre),204923,2021-06-20 19:43
Sant,Ensaio Sobre a Lucidez,141935,2021-06-20 19:45
Baco Exu do Blues,Humanos Não Matam Deuses,135111,2021-06-20 19:48
Renan Inquérito,Mister M,171466,2021-06-20 19:50
BK,Top Boys,3242,2021-06-20 19:51
Filipe Ret,Invicto,1867,2021-06-20 19:51
FBC,Auto Ajuda,0,2021-06-20 19:51
MV Bill,O Soldado Que Fica,16643,2021-06-20 19:51
Costa Gold,Ciclone,715,2021-06-20 19:51
ADL,Favela Vive,3500,2021-06-20 19:51
Black Alien,Chuck Berry,14037,2021-06-20 19:51
Don L,Eu Não Te Amo,2852,2021-06-20 19:57
Kawe,Brilho,3256,2021-06-20 19:57
MV Bill,Nóiz Mermo,0,2021-06-20 19:57
Kant,Role Play,201,2021-06-20 19:57
Filipe Ret,Neurótico de Guerra,3448,2021-06-20 19:57
Murica,Coral e Cascavel,1657,2021-06-20 19:57
Sant,Entre Becos e Vielas,0,2021-06-20 19:57
FBC,se brotar,836,2021-06-20 19:57
Rincon Sapiência,Cotidiano,0,2021-06-20 19:57
Renan Inquérito,Versos Vegetarianos,525,2021-06-20 19:57
ADL,Favela Vive,330527,2021-06-20 19:57
BK,Castelos & Ruínas,765,2021-06-20 19:57
Black Alien,Chuck Berry,2418,2021-06-20 19:57
ConeCrewDiretoria,"Rap, Cerva, Erva e Muita Larica",1867,2021-06-20 19:58
ADL,Favela Vive 4,4146,2021-06-20 19:58
FBC,Levar a Sério,146898,2021-06-20 20:00
Sant,OPRES,90002,2021-06-20 20:02
The Weeknd,Blinding Lights,200040,2021-06-21 01:42
The Weeknd,Save Your Tears,215626,2021-06-21 01:45
The Weeknd,The Hills,225123,2021-06-21 01:49
The Weeknd,In Your Eyes,7382,2021-06-21 01:49
The Weeknd,Starboy,150482,2021-06-21 01:52
The Weeknd,Can't Feel My Face,3632,2021-06-21 01:52
The Weeknd,I Feel It Coming,56872,2021-06-21 01:53
Michael Jackson,Smooth Criminal - 2012 Remaster,7137,2021-06-21 01:57
Michael Jackson,Beat It,20804,2021-06-21 01:57
Michael Jackson,Billie Jean,245909,2021-06-21 01:57
Michael Jackson,Smooth Criminal - 2012 Remaster,257760,2021-06-21 02:02
Michael Jackson,Beat It,169933,2021-06-21 02:05
Michael Jackson,The Way You Make Me Feel - 2012 Remaster,2313,2021-06-21 02:05
Michael Jackson,Thriller,2391,2021-06-21 02:05
Michael Jackson,Dirty Diana - 2012 Remaster,17657,2021-06-21 02:08
Michael Jackson,Man in the Mirror - 2012 Remaster,1767,2021-06-21 02:08
Michael Jackson,P.Y.T. (Pretty Young Thing),3053,2021-06-21 02:08
Michael Jackson,Love Never Felt So Good,20084,2021-06-21 02:08
Michael Jackson,Don't Stop 'Til You Get Enough,168870,2021-06-21 02:08
Michael Jackson,Rock with You - Single Version,220626,2021-06-21 02:12
K-Mack,In Baltimore,2871,2021-06-21 02:15
Michael Jackson,Leave Me Alone - 2012 Remaster,105077,2021-06-21 02:15
Hi-Tech,Book of Life,59033,2021-06-21 02:16
Filipe Ret,Corte Americano,6313,2021-06-21 02:19
Teto,M4,170000,2021-06-21 02:19
Reid,Drip da Roça,7876,2021-06-21 02:19
Hungria Hip Hop,Legacy,1687,2021-06-21 02:21
L7NNON,Mais Que Isso,1937,2021-06-21 02:21
Djonga,Nós,6276,2021-06-21 02:21
Kawe,Mds,2163,2021-06-21 02:21
Djonga,Easy Money,70682,2021-06-21 02:21
Kawe,De 90 pra Cá,1344,2021-06-21 02:21
Orochi,Reis da Revoada,2810,2021-06-21 02:21
BIN,Quase uma Semana,1976,2021-06-21 02:21
Costa Gold,O Pai Tá On,1708,2021-06-21 02:21
Tribo da Periferia,Resiliência,2133,2021-06-21 02:33
2Pac,All Eyez On Me (ft. Big Syke),155776,2021-06-23 22:24
2Pac,All Eyez On Me (ft. Big Syke),22535,2021-06-23 22:24
Diddy,Young G's (feat. The Notorious B.I.G. & Jay-Z),3820,2021-06-23 22:24
Hi-Tech,Book of Life,5631,2021-06-23 22:24
Ice Cube,You Know How We Do It,3704,2021-06-23 22:24
Silouette,Rude Girlz - Bonus Track,26583,2021-06-23 22:25
Common,Invocation,8418,2021-06-23 22:28
2Pac,Do For Love,219440,2021-06-23 22:28
The Notorious B.I.G.,Big Poppa - 2005 Remaster,4831,2021-06-23 22:29
Nas,Nas Is Like,15360,2021-06-23 22:29
2Pac,Ambitionz Az A Ridah,4029,2021-06-23 22:29
Dr. Dre,"Nuthin' But A ""G"" Thang",4331,2021-06-23 22:29
K-Mack,In Baltimore,4354,2021-06-23 22:29
Redman,Tonight's Da Night,5469,2021-06-23 22:29
Junior M.A.F.I.A.,Get Money,4322,2021-06-23 22:29
Dr. Dre,Bitches Ain't Shit,5561,2021-06-23 22:29
Ms. Lauryn Hill,Lost Ones,6194,2021-06-23 22:29
Pete Rock,Grown Man Sport,7107,2021-06-23 22:29
Ice Cube,It Was A Good Day,6026,2021-06-23 22:29
Dr. Dre,Fuck Wit Dre Day (And Everybody's Celebratin'),3340,2021-06-23 22:30
N.W.A.,Alwayz Into Somethin',2902,2021-06-23 22:30
Dr. Dre,Let Me Ride,3193,2021-06-23 22:30
Eazy-E,Real Muthaphuckkin' G's,3263,2021-06-23 22:30
Bahamadia,Uknowhowwedu,2125,2021-06-23 22:30
Mobb Deep,"Shook Ones, Pt. II",3356,2021-06-23 22:30
2Pac,Hail Mary,3704,2021-06-23 22:30
The Notorious B.I.G.,Who Shot Ya? - 2005 Remaster,7442,2021-06-23 22:30
Science Of Sound,So You Wanna Be an MC,3868,2021-06-23 22:30
Goodie Mob,Cell Therapy,500,2021-06-23 22:30
The Roots,What They Do,4493,2021-06-23 22:30
2Pac,I Get Around,3332,2021-06-23 22:30
2Pac,Hit 'em Up,5958,2021-06-23 22:30
Finsta Bundy,Don't Stress Tomorrow,391,2021-06-23 22:32
Don L,"Morra Bem, Viva Rápido",4009,2021-06-23 22:35
Lil Baby,Hats Off (feat. Travis Scott),194845,2021-06-23 22:35
Renan Inquérito,Versos Vegetarianos,212426,2021-06-23 22:38
BK,Top Boys,1271,2021-06-23 22:43
Snoop Dogg,Drop It Like It's Hot,478,2021-06-23 22:43
FBC,Auto Ajuda,1426,2021-06-23 22:43
Baco Exu do Blues,En Tu Mira,168,2021-06-23 22:43
Froid,Flow de Lázaro,19592,2021-06-23 22:43
Emicida,"Eminência Parda (feat. Dona Onete, Jé Santiago & Papillon)",953,2021-06-23 22:43
Sain,Iori Incorporado,5404,2021-06-23 22:43
Filipe Ret,Abençoado,0,2021-06-23 22:43
Pineapple StormTv,Perfil #84 - Eu Vim de Lá,1658,2021-06-23 22:43
RZO,"Pirituba, Pt. 1",0,2021-06-23 22:43
Emicida,Ooorra - Ao Vivo,1130,2021-06-23 22:43
Don L,kelefeeling (verso livre),136,2021-06-23 22:43
Rincon Sapiência,Transporte Público (Remistura),269,2021-06-23 22:43
Febem,CRIME,732,2021-06-23 22:43
BK,Castelos & Ruínas,249490,2021-06-23 22:43
Renan Inquérito,Tristeza,357,2021-06-23 22:43
Djonga,BENÇA,881,2021-06-23 22:43
Filipe Ret,Acende a Vela,10759,2021-06-23 22:46
Racionais MC's,Negro Drama (Ao Vivo),1662,2021-06-23 22:46
Lil Nas X,HOLIDAY,154997,2021-06-23 22:46
FBC,Levar a Sério,1990,2021-06-23 22:46
Outkast,Ms. Jackson,270506,2021-06-23 22:51
Febem,MÉXICO,26911,2021-06-23 22:51
Kayuá,Celebrar,240000,2021-06-23 22:55
Racionais MC's,Expresso da Meia-Noite,5644,2021-06-23 22:56
BK,"Amores, Vícios e Obsessões",22509,2021-06-23 22:56
MC Caverinha,Por um Fio,27549,2021-06-23 22:56
Rashid,E Se,845,2021-06-23 22:57
Kant,Role Play,704,2021-06-23 22:57
Criolo,Sistema Obtuso,368,2021-06-23 22:57
Renan Inquérito,Cidade Sem Cor,1741,2021-06-23 22:57
Parteum,Raciocínio Quebrado,3457,2021-06-23 22:57
Matuê,De Alta,36603,2021-06-23 22:57
Racionais MC's,Da Ponte pra Cá,2845,2021-06-23 22:57
Renan Inquérito,Mister M,79026,2021-06-23 22:58
Don L,Depois das Três,883,2021-06-23 22:59
Kamau,Só,133,2021-06-23 22:59
Kawe,Brilho,3644,2021-06-23 22:59
Rincon Sapiência,Linhas de Soco,936,2021-06-23 22:59
Sant,Ensaio Sobre a Lucidez,1543,2021-06-23 22:59
Eloy Polemico,Ouro de Tolo,1092,2021-06-23 22:59
MC Maneirinho,Vou Te Levar - Remix,3293,2021-06-23 22:59
Mano Brown,Mulher Elétrica,1416,2021-06-23 22:59
DaBaby,Red Light Green Light,5972,2021-06-28 15:01
"Tyler, The Creator",LEMONHEAD (feat. 42 Dugg),130980,2021-06-28 15:04
Migos,Modern Day,241790,2021-06-28 15:08
Joyner Lucas,Ramen & OJ,218447,2021-06-28 15:11
Lil Tecca,NEVER LEFT,168727,2021-06-28 15:14
Big Sean,Freshman 10 (Freestyle) [10th Anniversary],45923,2021-06-28 15:15
"Tyler, The Creator",JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),146419,2021-06-28 15:17
Lil Baby,Hats Off (feat. Travis Scott),12453,2021-06-28 15:18
Young Stoner Life,Solid (feat. Drake),215693,2021-06-28 15:21
DJ Khaled,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),236524,2021-06-28 15:25
DaBaby,Ball If I Want To,112546,2021-06-28 15:27
Ski Mask The Slump God,ADMIT IT,93920,2021-06-28 15:29
"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),43817,2021-06-28 15:45
Criolo,Sucrilhos,4417,2021-06-29 14:20
Emicida,Ooorra - Ao Vivo,2966,2021-06-29 14:20
Don L,Eu Não Te Amo,174602,2021-06-29 14:23
Froid,Kyoto,2375,2021-06-29 14:23
Snoop Dogg,Drop It Like It's Hot,652,2021-06-29 14:23
Baco Exu do Blues,999,1981,2021-06-29 14:23
Black Alien,Que Nem o Meu Cachorro,1626,2021-06-29 14:23
Rincon Sapiência,Afro Rep,1095,2021-06-29 14:23
Pentagono,O Q?,1366,2021-06-29 14:23
Filipe Ret,War - Remix,1381,2021-06-29 14:23
Rashid,Diário de Bordo 6,4038,2021-06-29 14:23
JAY-Z,No Church In The Wild,1057,2021-06-29 14:23
Rincon Sapiência,Cotidiano,676,2021-06-29 14:23
Djonga,Vírgula,2111,2021-06-29 14:23
BK,Mudando o Jogo,881,2021-06-29 14:23
L7NNON,Hitmaker,2308,2021-06-29 14:23
509-E,Uh Barato É Louco,1261,2021-06-29 14:23
Hungria Hip Hop,Legacy,32560,2021-06-29 14:27
Kamau,Só,201280,2021-06-29 14:27
Filipe Ret,Libertários Não Morrem,1618,2021-06-29 14:30
Criolo,Subirusdoistiozin,181960,2021-06-29 14:30
